MODEL,MODEL_BASE,MODEL_NAME,MODEL_GROUP,PRODUCT,PRODUCT_SIGN,PRICE_TYPE,LOOKBACK,STRATEGY,N_DIRECTIONAL_OBSERVATIONS,DIRECTIONAL_HIT_COUNT,DIRECTIONAL_ACCURACY
bidirectional_lstm_ts42_single,bidirectional_lstm,"BiLSTM (42 TimeSteps), Single",DEEP_LEARNING,04_08,NEG,MARGINAL,42.0,single,242,180,0.743801652892562
bidirectional_lstm_ts42_single,bidirectional_lstm,"BiLSTM (42 TimeSteps), Single",DEEP_LEARNING,04_08,POS,AVERAGE,42.0,single,242,152,0.628099173553719
bidirectional_lstm_ts42_single,bidirectional_lstm,"BiLSTM (42 TimeSteps), Single",DEEP_LEARNING,04_08,POS,MARGINAL,42.0,single,242,143,0.5909090909090909
bidirectional_lstm_ts42_single,bidirectional_lstm,"BiLSTM (42 TimeSteps), Single",DEEP_LEARNING,08_12,NEG,AVERAGE,42.0,single,242,167,0.6900826446280992
bidirectional_lstm_ts42_single,bidirectional_lstm,"BiLSTM (42 TimeSteps), Single",DEEP_LEARNING,08_12,NEG,MARGINAL,42.0,single,242,160,0.6611570247933884
bidirectional_lstm_ts42_single,bidirectional_lstm,"BiLSTM (42 TimeSteps), Single",DEEP_LEARNING,08_12,POS,AVERAGE,42.0,single,242,183,0.756198347107438
bidirectional_lstm_ts42_single,bidirectional_lstm,"BiLSTM (42 TimeSteps), Single",DEEP_LEARNING,08_12,POS,MARGINAL,42.0,single,242,180,0.743801652892562
bidirectional_lstm_ts42_single,bidirectional_lstm,"BiLSTM (42 TimeSteps), Single",DEEP_LEARNING,12_16,NEG,AVERAGE,42.0,single,242,194,0.8016528925619835
bidirectional_lstm_ts42_single,bidirectional_lstm,"BiLSTM (42 TimeSteps), Single",DEEP_LEARNING,12_16,NEG,MARGINAL,42.0,single,242,179,0.7396694214876033
bidirectional_lstm_ts42_single,bidirectional_lstm,"BiLSTM (42 TimeSteps), Single",DEEP_LEARNING,12_16,POS,AVERAGE,42.0,single,242,197,0.8140495867768595
bidirectional_lstm_ts42_single,bidirectional_lstm,"BiLSTM (42 TimeSteps), Single",DEEP_LEARNING,12_16,POS,MARGINAL,42.0,single,242,175,0.7231404958677686
