DATE,PRODUCT,POS_GERMANY_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h],POS_GERMANY_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h],NEG_GERMANY_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h],NEG_GERMANY_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h]
2021-01-29 08:00:00,08_12,5.019,6.0725,0.258,0.3025
2021-01-29 12:00:00,12_16,1.7344,1.97,0.2598,0.3025
2021-01-29 16:00:00,16_20,4.5149,4.905,0.2455,0.3
2021-01-29 20:00:00,20_24,0.8725,1.0025,0.2895,0.365
2021-01-30 00:00:00,00_04,0.6306,0.785,2.907,3.53
2021-01-30 04:00:00,04_08,0.7803,0.9575,0.8485,1.125
2021-01-30 08:00:00,08_12,3.5122,4.435,0.2559,0.3375
2021-01-30 12:00:00,12_16,1.3869,1.685,0.253,0.325
2021-01-30 16:00:00,16_20,4.3151,4.9,0.2471,0.3
2021-01-30 20:00:00,20_24,0.8286,0.9775,0.2904,0.39
2021-01-31 00:00:00,00_04,0.6105,0.735,2.6665,3.25
2021-01-31 04:00:00,04_08,0.7475,0.8925,1.1288,3.7275
2021-01-31 08:00:00,08_12,2.8708,3.3125,0.2604,0.3225
2021-01-31 12:00:00,12_16,1.1929,1.3975,0.2595,0.3175
2021-01-31 16:00:00,16_20,4.0749,4.675,0.2525,0.3
2021-01-31 20:00:00,20_24,0.7622,0.88,0.2942,0.4175
2021-02-01 00:00:00,00_04,1.0281,6.9625,2.6294,3.14
2021-02-01 04:00:00,04_08,8.8267,153.765,1.1887,2.6075
2021-02-01 08:00:00,08_12,4.909,7.1125,0.2619,0.325
2021-02-01 12:00:00,12_16,1.7893,3.04,0.2619,0.3325
2021-02-01 16:00:00,16_20,5.3717,7.295,0.2566,0.3025
2021-02-01 20:00:00,20_24,1.0242,1.37,0.2982,0.36
2021-02-02 00:00:00,00_04,4.8652,15.6925,2.4416,2.825
2021-02-02 04:00:00,04_08,11.6472,27.235,1.1132,1.535
2021-02-02 08:00:00,08_12,6.9941,12.7125,0.2441,0.3
2021-02-02 12:00:00,12_16,3.1896,8.45,0.2463,0.325
2021-02-02 16:00:00,16_20,5.622,7.2975,0.2411,0.3
2021-02-02 20:00:00,20_24,3.3264,9.735,0.387,1.57
2021-02-03 00:00:00,00_04,6.7052,12.045,2.9575,4.4125
2021-02-03 04:00:00,04_08,11.0404,14.7825,1.1828,1.575
2021-02-03 08:00:00,08_12,8.3397,10.87,0.3836,1.1775
2021-02-03 12:00:00,12_16,4.0158,5.855,0.3814,1.085
2021-02-03 16:00:00,16_20,6.4911,9.6875,0.4028,1.035
2021-02-03 20:00:00,20_24,4.7627,8.5,1.0964,5.0
2021-02-04 00:00:00,00_04,5.7657,7.4175,5.1276,10.5875
2021-02-04 04:00:00,04_08,7.8691,9.5,1.4308,2.4975
2021-02-04 08:00:00,08_12,7.3437,8.3125,0.5425,0.9775
2021-02-04 12:00:00,12_16,5.2261,7.4175,0.4625,0.965
2021-02-04 16:00:00,16_20,8.8153,11.875,0.4549,0.96
2021-02-04 20:00:00,20_24,5.0539,6.22,1.2321,2.1675
2021-02-05 00:00:00,00_04,4.778,5.08,4.2667,5.645
2021-02-05 04:00:00,04_08,6.3749,7.55,1.2771,1.63
2021-02-05 08:00:00,08_12,6.5813,8.0325,0.6077,1.2
2021-02-05 12:00:00,12_16,4.4708,5.4675,0.5287,1.075
2021-02-05 16:00:00,16_20,7.8616,9.06,0.6166,1.25
2021-02-05 20:00:00,20_24,4.2143,4.9825,1.255,1.7775
2021-02-06 00:00:00,00_04,2.9389,3.34,4.8428,6.125
2021-02-06 04:00:00,04_08,3.9146,4.68,2.7429,5.1875
2021-02-06 08:00:00,08_12,4.4513,5.3625,1.1054,1.9375
2021-02-06 12:00:00,12_16,2.6732,3.125,1.1218,2.28
2021-02-06 16:00:00,16_20,5.2709,6.145,1.4079,2.75
2021-02-06 20:00:00,20_24,2.5336,3.1,2.3874,5.115
2021-02-07 00:00:00,00_04,1.6763,2.075,17.6263,30.005
2021-02-07 04:00:00,04_08,2.2127,3.0575,20.4885,40.0
2021-02-07 08:00:00,08_12,3.132,3.72,4.8953,7.55
2021-02-07 12:00:00,12_16,1.7683,2.045,2.9492,4.445
2021-02-07 16:00:00,16_20,4.3417,5.0575,1.8584,3.005
2021-02-07 20:00:00,20_24,1.8382,2.29,2.8375,4.5
2021-02-08 00:00:00,00_04,9.3277,94.95,9.3688,13.25
2021-02-08 04:00:00,04_08,130.1612,1587.5,8.5388,15.33
2021-02-08 08:00:00,08_12,6.2408,10.1,2.1778,3.435
2021-02-08 12:00:00,12_16,3.3272,6.3325,1.3166,2.1875
2021-02-08 16:00:00,16_20,9.4294,16.2075,0.9858,1.5
2021-02-08 20:00:00,20_24,3.1751,11.0,1.5837,2.25
2021-02-09 00:00:00,00_04,13.9658,23.25,5.4729,12.6
2021-02-09 04:00:00,04_08,31.1746,61.13,4.0484,6.9075
2021-02-09 08:00:00,08_12,16.895,31.5,1.089,1.7675
2021-02-09 12:00:00,12_16,7.8488,14.5825,0.7168,1.25
2021-02-09 16:00:00,16_20,15.4759,23.0,0.6082,0.9925
2021-02-09 20:00:00,20_24,8.4952,15.5,0.8369,1.3625
2021-02-10 00:00:00,00_04,10.3753,13.375,5.2863,8.1675
2021-02-10 04:00:00,04_08,21.8599,27.2375,3.0197,4.3425
2021-02-10 08:00:00,08_12,17.1508,20.31,0.8273,1.25
2021-02-10 12:00:00,12_16,7.6602,9.475,0.6504,1.035
2021-02-10 16:00:00,16_20,14.8627,17.3,0.5586,0.875
2021-02-10 20:00:00,20_24,8.2001,10.0825,0.7273,1.2
2021-02-11 00:00:00,00_04,8.1892,10.61,5.1059,7.34
2021-02-11 04:00:00,04_08,14.8699,17.19,2.4841,3.1125
2021-02-11 08:00:00,08_12,15.8228,19.235,0.6981,0.9375
2021-02-11 12:00:00,12_16,7.9287,10.235,0.5729,0.8275
2021-02-11 16:00:00,16_20,16.1975,20.4175,0.5328,0.7125
2021-02-11 20:00:00,20_24,6.1654,7.61,0.6846,0.94
2021-02-12 00:00:00,00_04,6.7438,8.9725,4.951,6.5
2021-02-12 04:00:00,04_08,12.6417,14.75,1.9937,2.5
2021-02-12 08:00:00,08_12,15.2544,18.3625,0.5896,0.82
2021-02-12 12:00:00,12_16,7.1261,8.23,0.5763,0.925
2021-02-12 16:00:00,16_20,15.5229,19.88,0.4995,0.75
2021-02-12 20:00:00,20_24,5.7235,7.25,0.6677,1.03
2021-02-13 00:00:00,00_04,3.8808,6.1175,4.7443,5.79
2021-02-13 04:00:00,04_08,5.592,8.975,1.6964,2.06
2021-02-13 08:00:00,08_12,6.6139,10.7,0.5865,0.84
2021-02-13 12:00:00,12_16,3.9403,5.05,0.6026,0.8475
2021-02-13 16:00:00,16_20,8.3373,11.875,0.528,0.7025
2021-02-13 20:00:00,20_24,3.3032,4.7375,0.8017,1.25
2021-02-14 00:00:00,00_04,2.6077,3.52,4.372,5.01
2021-02-14 04:00:00,04_08,4.0264,6.25,1.4316,1.775
2021-02-14 08:00:00,08_12,5.0571,6.375,0.7151,1.005
2021-02-14 12:00:00,12_16,2.526,3.255,1.2608,4.3
2021-02-14 16:00:00,16_20,5.8641,7.785,0.6666,0.97
2021-02-14 20:00:00,20_24,2.4887,3.6,0.891,1.25
2021-02-15 00:00:00,00_04,12.0009,37.5,4.3638,5.95
2021-02-15 04:00:00,04_08,28.1735,108.75,1.5572,2.7475
2021-02-15 08:00:00,08_12,7.6768,10.25,0.6863,0.9175
2021-02-15 12:00:00,12_16,3.3974,5.5,1.1134,1.92
2021-02-15 16:00:00,16_20,8.9185,11.8125,0.6588,0.85
2021-02-15 20:00:00,20_24,4.5197,6.55,0.8785,1.145
2021-02-16 00:00:00,00_04,8.898,12.0,4.0736,4.775
2021-02-16 04:00:00,04_08,16.3956,19.85,1.5328,2.06
2021-02-16 08:00:00,08_12,9.1936,12.77,0.5981,0.75
2021-02-16 12:00:00,12_16,3.6231,4.4725,0.8781,1.2525
2021-02-16 16:00:00,16_20,8.2233,9.6875,0.5788,0.775
2021-02-16 20:00:00,20_24,3.891,4.45,0.8842,1.52
2021-02-17 00:00:00,00_04,5.5462,7.175,5.8494,8.51
2021-02-17 04:00:00,04_08,10.2833,13.3875,3.0018,6.5975
2021-02-17 08:00:00,08_12,8.4434,9.8625,0.7114,1.7
2021-02-17 12:00:00,12_16,3.3728,4.0875,0.9802,1.5
2021-02-17 16:00:00,16_20,8.2365,9.625,0.6815,1.75
2021-02-17 20:00:00,20_24,5.5897,16.25,0.8595,1.3675
2021-02-18 00:00:00,00_04,4.5176,5.7075,4.8061,6.985
2021-02-18 04:00:00,04_08,8.5549,10.7825,2.8091,4.1325
2021-02-18 08:00:00,08_12,8.4398,10.66,0.7029,1.25
2021-02-18 12:00:00,12_16,3.5314,4.25,0.9364,1.5
2021-02-18 16:00:00,16_20,7.2125,7.655,0.8703,1.5125
2021-02-18 20:00:00,20_24,4.6772,7.15,1.5463,3.4825
